Date,Price,Ratings
1947-01-01,26.3,70
1947-02-01,30,70
1947-03-01,17.5,70
1947-04-01,22.4,80
1947-05-01,32.2,90
1947-06-01,22.6,90
1947-07-01,26,90
1947-08-01,30.2,90
1947-09-01,29.4,90
1947-10-01,23.3,90
1947-11-01,28.6,90
1947-12-01,26.7,90
1948-01-01,26.7,70
1948-02-01,20.9,70
1948-03-01,17.6,70
1948-04-01,25,80
1948-05-01,39.5,90
1948-06-01,26.9,90
1948-07-01,26.2,90
1948-08-01,21.2,90
1948-09-01,23.3,90
1948-10-01,25.7,90
1948-11-01,27,90
1948-12-01,25.3,90
1949-01-01,27.1,70
1949-02-01,37.3,70
1949-03-01,35.7,70
1949-04-01,31.5,80
1949-05-01,21.6,90
1949-06-01,18.3,90
1949-07-01,25.8,90
1949-08-01,37,90
1949-09-01,40.9,90
1949-10-01,31,90
1949-11-01,30.4,90
1949-12-01,20.8,90
1950-01-01,29.7,70
1950-02-01,18.7,70
1950-03-01,18.6,70
1950-04-01,23.1,80
1950-05-01,30.2,90
1950-06-01,21.2,90
1950-07-01,21.2,90
1950-08-01,22.8,90
1950-09-01,24.8,90
1950-10-01,21.6,90
1950-11-01,28,90
1950-12-01,20,90
1951-01-01,21.3,70
1951-02-01,20.9,70
1951-03-01,21.6,70
1951-04-01,32.4,80
1951-05-01,31.3,90
1951-06-01,23.1,90
1951-07-01,28.4,90
1951-08-01,29.5,90
1951-09-01,24.5,90
1951-10-01,29.7,90
1951-11-01,35.1,90
1951-12-01,44.1,90
1952-01-01,35.8,70
1952-02-01,17.8,70
1952-03-01,22.9,70
1952-04-01,28.4,80
1952-05-01,30.4,90
1952-06-01,27.3,90
1952-07-01,24.1,90
1952-08-01,29.3,90
1952-09-01,28.4,90
1952-10-01,26.2,90
1952-11-01,29.9,90
1952-12-01,30.4,90
1953-01-01,19.1,70
1953-02-01,18.9,70
1953-03-01,21.5,70
1953-04-01,24.1,80
1953-05-01,32,90
1953-06-01,24.1,90
1953-07-01,26.2,90
1953-08-01,48.2,90
1953-09-01,26.2,90
1953-10-01,34.1,90
1953-11-01,25.2,90
1953-12-01,21.3,90
1954-01-01,34.3,70
1954-02-01,18.9,70
1954-03-01,22,70
1954-04-01,26.6,80
1954-05-01,46.1,90
1954-06-01,14.7,90
1954-07-01,23.1,90
1954-08-01,26.2,90
1954-09-01,27.3,90
1954-10-01,44.1,90
1954-11-01,39.9,90
1954-12-01,18.9,90
1955-01-01,39.9,70
1955-02-01,25.2,70
1955-03-01,26,70
1955-04-01,33.4,80
1955-05-01,27.3,90
1955-06-01,27.3,90
1955-07-01,34.6,90
1955-08-01,30.4,90
1955-09-01,32.5,90
1955-10-01,24.1,90
1955-11-01,25.7,90
1955-12-01,32.2,90
1956-01-01,21.3,70
1956-02-01,19.9,70
1956-03-01,25.2,70
1956-04-01,24.5,80
1956-05-01,31,90
1956-06-01,32,90
1956-07-01,19.9,90
1956-08-01,26.2,90
1956-09-01,31.5,90
1956-10-01,35.7,90
1956-11-01,55.6,90
1956-12-01,41.6,90
1957-01-01,29.4,70
1957-02-01,28.8,70
1957-03-01,17.8,70
1957-04-01,25.2,80
1957-05-01,26.9,90
1957-06-01,.,90
1957-07-01,39.9,90
1957-08-01,50.4,90
1957-09-01,35.7,90
1957-10-01,44.1,90
1957-11-01,35,90
1957-12-01,28.7,90
1958-01-01,28.4,70
1958-02-01,27.3,70
1958-03-01,45.1,70
1958-04-01,31.5,80
1958-05-01,43.6,90
1958-06-01,27.3,90
1958-07-01,27.3,90
1958-08-01,22,90
1958-09-01,30.4,90
1958-10-01,39.9,90
1958-11-01,25.7,90
1958-12-01,27.3,90
1959-01-01,26.2,70
1959-02-01,38.8,70
1959-03-01,21,70
1959-04-01,23.1,80
1959-05-01,24.1,90
1959-06-01,22,90
1959-07-01,28.4,90
1959-08-01,27.3,90
1959-09-01,52.5,90
1959-10-01,48.5,90
1959-11-01,26.2,90
1959-12-01,37.3,90
1960-01-01,36,70
1960-02-01,36.7,70
1960-03-01,27.3,70
1960-04-01,26.2,80
1960-05-01,23.1,90
1960-06-01,16.8,90
1960-07-01,31.5,90
1960-08-01,25.2,90
1960-09-01,30.4,90
1960-10-01,27.3,90
1960-11-01,33.6,90
1960-12-01,27.3,90
1961-01-01,36.7,70
1961-02-01,22,70
1961-03-01,18.9,70
1961-04-01,18.9,80
1961-05-01,32.5,90
1961-06-01,32.5,90
1961-07-01,27.3,90
1961-08-01,26.2,90
1961-09-01,44.1,90
1961-10-01,26.7,90
1961-11-01,30.4,90
1961-12-01,30.4,90
1962-01-01,30.4,70
1962-02-01,40.9,70
1962-03-01,32.5,70
1962-04-01,26.2,80
1962-05-01,42.5,90
1962-06-01,27.3,90
1962-07-01,28.4,90
1962-08-01,19.9,90
1962-09-01,48.3,90
1962-10-01,31.5,90
1962-11-01,37.8,90
1962-12-01,27.8,90
1963-01-01,36.8,70
1963-02-01,34.1,70
1963-03-01,38.8,70
1963-04-01,30.4,80
1963-05-01,31.5,90
1963-06-01,44.1,90
1963-07-01,26.2,90
1963-08-01,25.2,90
1963-09-01,24.1,90
1963-10-01,32.5,90
1963-11-01,48.3,90
1963-12-01,39.4,90
1964-01-01,52.5,70
1964-02-01,37.8,70
1964-03-01,39.9,70
1964-04-01,22,80
1964-05-01,25.2,90
1964-06-01,19.9,90
1964-07-01,36.8,90
