DATE,WPU01130213
1979-08-01,70.2
1979-09-01,62.6
1979-10-01,72.4
1979-11-01,79
1979-12-01,78.5
1980-01-01,94.4
1980-02-01,61.2
1980-03-01,75.7
1980-04-01,97.2
1980-05-01,99.5
1980-06-01,96.6
1980-07-01,89.3
1980-08-01,79
1980-09-01,87.8
1980-10-01,79
1980-11-01,103.2
1980-12-01,125.8
1981-01-01,127.3
1981-02-01,76.8
1981-03-01,79
1981-04-01,79.8
1981-05-01,128.4
1981-06-01,133.2
1981-07-01,125.1
1981-08-01,117.1
1981-09-01,94.4
1981-10-01,89.3
1981-11-01,102.1
1981-12-01,89.1
1982-01-01,114.1
1982-02-01,112.4
1982-03-01,101
1982-04-01,95.1
1982-05-01,109.7
1982-06-01,114.1
1982-07-01,98.8
1982-08-01,102.1
1982-09-01,102.4
1982-10-01,90
1982-11-01,83.4
1982-12-01,76.8
1983-01-01,82.7
1983-02-01,94.4
1983-03-01,85.2
1983-04-01,126.6
1983-05-01,167.9
1983-06-01,125.8
1983-07-01,124
1983-08-01,107.6
1983-09-01,121.5
1983-10-01,103.9
1983-11-01,140.5
1983-12-01,172.3
1984-01-01,195.4
1984-02-01,195.4
1984-03-01,120.2
1984-04-01,86
1984-05-01,128.8
1984-06-01,113.4
1984-07-01,98
1984-08-01,87.8
1984-09-01,89.3
1984-10-01,80.5
1984-11-01,125.8
1984-12-01,86.7
1985-01-01,79.5
1985-02-01,80.1
1985-03-01,79.8
1985-04-01,76.3
1985-05-01,90
1985-06-01,104.3
1985-07-01,114.1
1985-08-01,98.8
1985-09-01,98.8
1985-10-01,94.4
1985-11-01,107.6
1985-12-01,127.3
1986-01-01,101
1986-02-01,83.4
1986-03-01,83.4
1986-04-01,143.4
1986-05-01,127.3
1986-06-01,98.8
1986-07-01,125.1
1986-08-01,106.8
1986-09-01,116.3
1986-10-01,114.1
1986-11-01,114.1
1986-12-01,90.4
1987-01-01,131.7
1987-02-01,106.8
1987-03-01,108.3
1987-04-01,104.6
1987-05-01,117.1
1987-06-01,98.8
1987-07-01,96.6
1987-08-01,77.6
1987-09-01,130.2
1987-10-01,94.4
1987-11-01,102.4
1987-12-01,100
1988-01-01,144.1
1988-02-01,110.5
1988-03-01,76.8
1988-04-01,88.7
1988-05-01,137.2
1988-06-01,100.2
1988-07-01,105.4
1988-08-01,99.5
1988-09-01,166.8
1988-10-01,101
1988-11-01,109.7
1988-12-01,95.5
1989-01-01,109.7
1989-02-01,109.7
1989-03-01,99.5
1989-04-01,85.6
1989-05-01,169
1989-06-01,134.6
1989-07-01,98.8
1989-08-01,110.5
1989-09-01,83.4
1989-10-01,101
1989-11-01,
1989-12-01,90.1
1990-01-01,133.2
1990-02-01,133.9
1990-03-01,79
1990-04-01,76.8
1990-05-01,114.1
1990-06-01,106.8
1990-07-01,101
1990-08-01,81.2
1990-09-01,100.5
1990-10-01,83.4
1990-11-01,127.3
1990-12-01,105.9
1991-01-01,117.8
1991-02-01,147.1
1991-03-01,82.3
1991-04-01,81.8
1991-05-01,147.8
1991-06-01,108.3
1991-07-01,137.6
1991-08-01,76.8
1991-09-01,85.2
1991-10-01,86.7
1991-11-01,118.5
1991-12-01,84.9
1992-01-01,88.6
1992-02-01,85.1
1992-03-01,113.7
1992-04-01,171.5
1992-05-01,205.4
1992-06-01,159
1992-07-01,155.9
1992-08-01,207
1992-09-01,197.7
1992-10-01,129.5
1992-11-01,179.7
1992-12-01,144.8
1993-01-01,270.7
1993-02-01,430.8
1993-03-01,360.7
1993-04-01,188.3
1993-05-01,243
1993-06-01,110.8
1993-07-01,128.5
1993-08-01,115.1
1993-09-01,172.7
1993-10-01,177.3
1993-11-01,186.2
1993-12-01,119
1994-01-01,104.8
1994-02-01,110.2
1994-03-01,111.1
1994-04-01,104.2
1994-05-01,171.8
1994-06-01,115.9
1994-07-01,179
1994-08-01,143.6
1994-09-01,156.2
1994-10-01,119.5
1994-11-01,193.9
1994-12-01,326.4
1995-01-01,306.9
1995-02-01,346.8
1995-03-01,263.1
1995-04-01,369.4
1995-05-01,343.1
1995-06-01,190.7
1995-07-01,176.2
1995-08-01,120.6
1995-09-01,223.5
1995-10-01,159.6
1995-11-01,174.6
1995-12-01,101.1
1996-01-01,88.9
1996-02-01,101.1
1996-03-01,126.6
1996-04-01,208.1
1996-05-01,105.4
1996-06-01,147.9
1996-07-01,136.4
1996-08-01,103.1
1996-09-01,143
1996-10-01,98.4
1996-11-01,180.4
1996-12-01,143.5
1997-01-01,166.9
1997-02-01,164.8
1997-03-01,159.5
1997-04-01,132.9
1997-05-01,165.1
1997-06-01,121.1
1997-07-01,288.3
1997-08-01,225
1997-09-01,251.3
1997-10-01,148.6
1997-11-01,216.9
1997-12-01,170.9
1998-01-01,143.1
1998-02-01,164.1
1998-03-01,165.7
1998-04-01,144
1998-05-01,183.4
1998-06-01,145.1
1998-07-01,156.7
1998-08-01,112.7
1998-09-01,119.8
1998-10-01,131
1998-11-01,169.8
1998-12-01,106.7
1999-01-01,121.5
1999-02-01,103.8
1999-03-01,104.7
1999-04-01,119.9
1999-05-01,158.1
1999-06-01,225.4
1999-07-01,215.3
1999-08-01,129.7
1999-09-01,143.4
1999-10-01,97
1999-11-01,183.3
1999-12-01,245
2000-01-01,248.3
2000-02-01,202.4
2000-03-01,168.9
2000-04-01,274.2
2000-05-01,279.9
2000-06-01,386.8
2000-07-01,243.3
2000-08-01,281.2
2000-09-01,199.3
2000-10-01,148.7
2000-11-01,302.3
2000-12-01,277
2001-01-01,209.4
2001-02-01,251.6
2001-03-01,241.5
2001-04-01,264.3
2001-05-01,373
2001-06-01,604.4
2001-07-01,211.2
2001-08-01,98.8
2001-09-01,104.2
2001-10-01,103.4
2001-11-01,138.3
2001-12-01,127
2002-01-01,125
2002-02-01,222.4
2002-03-01,274.1
2002-04-01,270.8
2002-05-01,147.7
2002-06-01,117
2002-07-01,120.5
2002-08-01,107
2002-09-01,133.3
2002-10-01,107.1
2002-11-01,187.8
2002-12-01,102.9
2003-01-01,104.6
2003-02-01,114.5
2003-03-01,165.8
2003-04-01,186.3
2003-05-01,157.4
2003-06-01,116.8
2003-07-01,174.5
2003-08-01,108.1
2003-09-01,135.5
2003-10-01,166.6
2003-11-01,288.3
2003-12-01,142.5
2004-01-01,252.6
2004-02-01,247.9
2004-03-01,233.7
2004-04-01,154.4
2004-05-01,242.3
2004-06-01,214.8
2004-07-01,182.7
2004-08-01,118.2
2004-09-01,151.4
2004-10-01,168.4
2004-11-01,243.9
2004-12-01,188.2
2005-01-01,171.4
2005-02-01,290
2005-03-01,340.9
2005-04-01,175
2005-05-01,233
2005-06-01,138.3
2005-07-01,161.8
2005-08-01,151.7
2005-09-01,210
2005-10-01,199.2
2005-11-01,226.7
2005-12-01,174
2006-01-01,123.6
2006-02-01,138
2006-03-01,206
2006-04-01,252.8
2006-05-01,165.4
2006-06-01,114.9
2006-07-01,308
2006-08-01,349.1
2006-09-01,255.2
2006-10-01,345.8
2006-11-01,288.8
2006-12-01,242.6
2007-01-01,305.3
2007-02-01,766.7
2007-03-01,428.6
2007-04-01,240.1
2007-05-01,212.9
2007-06-01,181.7
2007-07-01,172.5
2007-08-01,119.6
2007-09-01,188.3
2007-10-01,145.7
2007-11-01,244.5
2007-12-01,170.1
2008-01-01,241
2008-02-01,169.8
2008-03-01,169.8
2008-04-01,142.9
2008-05-01,563.7
2008-06-01,443.4
2008-07-01,320.3
2008-08-01,159
2008-09-01,169
2008-10-01,173.3
2008-11-01,222.9
2008-12-01,160.3
2009-01-01,413.2
2009-02-01,432.9
2009-03-01,167.1
2009-04-01,179.7
2009-05-01,258.3
2009-06-01,151.9
2009-07-01,136.5
2009-08-01,136.7
2009-09-01,142.2
2009-10-01,251.3
2009-11-01,273.9
2009-12-01,606.1
2010-01-01,343.3
2010-02-01,250.2
2010-03-01,322.9
2010-04-01,184.8
2010-05-01,249.2
2010-06-01,213.1
2010-07-01,215.6
2010-08-01,169.2
2010-09-01,187.7
2010-10-01,189.9
2010-11-01,196.3
2010-12-01,331.9
2011-01-01,295.2
2011-02-01,761.9
2011-03-01,389.9
2011-04-01,198.8
2011-05-01,466.5
2011-06-01,243.6
2011-07-01,229.1
2011-08-01,192.5
2011-09-01,166.2
2011-10-01,167.5
2011-11-01,239.1
2011-12-01,227.9
2012-01-01,213.4
2012-02-01,196
2012-03-01,157.5
2012-04-01,159.7
2012-05-01,220
2012-06-01,159.6
2012-07-01,365.4
2012-08-01,247.4
2012-09-01,313.9
2012-10-01,218.3
2012-11-01,276.6
2012-12-01,276.7
2013-01-01,470
2013-02-01,682.9
2013-03-01,383.9
2013-04-01,229
2013-05-01,630
2013-06-01,319.1
2013-07-01,254.1
2013-08-01,204
2013-09-01,207.4
2013-10-01,284.1
2013-11-01,285.3
2013-12-01,226.2
2014-01-01,179.7
2014-02-01,158.7
2014-03-01,137.4
2014-04-01,205.4
2014-05-01,198.5
2014-06-01,196.3
2014-07-01,295.9
2014-08-01,240
2014-09-01,207.7
2014-10-01,191.5
2014-11-01,333.2
2014-12-01,410.3
2015-01-01,255.8
2015-02-01,208.5
2015-03-01,188.7
2015-04-01,209.9
2015-05-01,322.8
2015-06-01,236.9
2015-07-01,202.7
2015-08-01,315.6
2015-09-01,296.9
2015-10-01,298.6
2015-11-01,442
2015-12-01,815.6
2016-01-01,847.6
2016-02-01,373
2016-03-01,256.4
2016-04-01,195.7
2016-05-01,211.7
2016-06-01,164.3
2016-07-01,188
2016-08-01,170.7
2016-09-01,151.4
2016-10-01,151.4
2016-11-01,298.4
2016-12-01,252.5
2017-01-01,222.5
2017-02-01,206.9
2017-03-01,216.8
2017-04-01,378
2017-05-01,516.3
2017-06-01,357.8
2017-07-01,377.4
2017-08-01,156.7
2017-09-01,188.3
2017-10-01,160.3
2017-11-01,329.4
2017-12-01,211.1
2018-01-01,191.8
2018-02-01,140.8
2018-03-01,155.1
2018-04-01,185.5
2018-05-01,169.9
2018-06-01,163.8
2018-07-01,266.7
2018-08-01,147.3
2018-09-01,200.7
2018-10-01,152.9
2018-11-01,381.8
2018-12-01,629.8
2019-01-01,543.4
2019-02-01,864
