Date,Price,Rating
1947-01-01,34.4,90
1947-02-01,44.2,90
1947-03-01,43.9,50
1947-04-01,50.1,50
1947-05-01,54.9,50
1947-06-01,54.6,50
1947-07-01,54.6,70
1947-08-01,54.6,90
1947-09-01,31.6,90
1947-10-01,31.1,90
1947-11-01,29.3,90
1947-12-01,32.6,90
1948-01-01,33.9,90
1948-02-01,33.8,90
1948-03-01,26.1,50
1948-04-01,26.4,50
1948-05-01,24.7,50
1948-06-01,29.7,50
1948-07-01,29.7,70
1948-08-01,35.5,90
1948-09-01,32.4,90
1948-10-01,29.6,90
1948-11-01,31.7,90
1948-12-01,31.6,90
1949-01-01,54.1,90
1949-02-01,50.4,90
1949-03-01,39.7,50
1949-04-01,26.1,50
1949-05-01,36.3,50
1949-06-01,36.9,50
1949-07-01,35.9,70
1949-08-01,27.5,90
1949-09-01,30.3,90
1949-10-01,26.9,90
1949-11-01,27.5,90
1949-12-01,26.8,90
1950-01-01,32.7,90
1950-02-01,38,90
1950-03-01,26.8,50
1950-04-01,31.2,50
1950-05-01,33.4,50
1950-06-01,38.4,50
1950-07-01,39.3,70
1950-08-01,31.7,90
1950-09-01,30.7,90
1950-10-01,30.7,90
1950-11-01,37.4,90
1950-12-01,42.2,90
1951-01-01,48.1,90
1951-02-01,40.5,90
1951-03-01,32.7,50
1951-04-01,35,50
1951-05-01,48.4,50
1951-06-01,32.1,50
1951-07-01,38.4,70
1951-08-01,34.6,90
1951-09-01,33.7,90
1951-10-01,32.8,90
1951-11-01,39.7,90
1951-12-01,37.4,90
1952-01-01,35.1,90
1952-02-01,37.5,90
1952-03-01,32.4,50
1952-04-01,32.9,50
1952-05-01,26.8,50
1952-06-01,52.6,50
1952-07-01,60.9,70
1952-08-01,37.7,90
1952-09-01,45,90
1952-10-01,32.9,90
1952-11-01,33.4,90
1952-12-01,31.8,90
1953-01-01,31.5,90
1953-02-01,25.5,90
1953-03-01,23.9,50
1953-04-01,31.8,50
1953-05-01,40.2,50
1953-06-01,64.7,50
1953-07-01,38.4,70
1953-08-01,29.6,90
1953-09-01,36.2,90
1953-10-01,30.9,90
1953-11-01,32.9,90
1953-12-01,26.8,90
1954-01-01,28.3,90
1954-02-01,35.1,90
1954-03-01,31.5,50
1954-04-01,28.9,50
1954-05-01,25.3,50
1954-06-01,30,50
1954-07-01,35.1,70
1954-08-01,34,90
1954-09-01,36.2,90
1954-10-01,28.9,90
1954-11-01,34.6,90
1954-12-01,31.8,90
